date,expression,value
12032009,0-3+9-0-20+21,7
12032010,12-0-20/10*3,6
12032011,0+11-3-10+2+2,2
12032012,22+0+0-23+1+1,1
12032013,31-20-3*2-1-0,4
12032014,40*1-2*1-32-0,6
12032015,1+10/2*5-20+3,9
12032016,2+30*2-10*6/1,2
12032017,20+12+7-30/1,9
12032018,3+10*12-20+8,111
12032019,21-0+0-19-2+3,3
12032020,0+10+0-32+22,0
12032021,3+0-10+2+12+2,9
12032022,2-10+2-0+32/2,10
12032023,32-1-30+20/2,11
12032024,1*4+20-0-32/2,8
12032025,2*1/20*35*2-0,7
12032026,23-12-0+0-2-6,3
12032027,0+3*2-7-12+20,7
12032028,21-3-20/20*8,10
12032029,29+30+21+20,100
12032030,1+0-33-0+20*2,8
12032031,31-1-20+0+3-2,11
12032032,0-3+23-22+10,8
12032033,3+2*10+3+0-23,3
12032034,40/20+32-31,3
12032035,2+35-20-3-10,4
12032036,3+10+0+23-26,10
12032037,20-1*23+0+3+7,7
12032038,38-0-2+0-31+2,7
12032039,23-9/3*1-20-0,0
12032040,4-23+20-0-0+1,2
12032041,1-1-20-3+20+4,1
12032042,0-42+30+22+1,11
12032043,1+23-34+0+20,10
12032044,1*20*4*30/24,100
12032045,24-0+20/1-35,9
12032046,30/2-0+64+21,100
12032047,20-74+3*20-1,5
12032048,40*32/8/20-1,7
12032049,20-43+0+1+29,7
12032050,25+0+0-23-1+0,1
12032051,2+3*10-0-15*2,2
12032052,5+2-0-30+2+21,0
12032053,3*20-35-21-0,4
12032054,25-30+4-0+12,11
12032055,52-52-0-0+3+1,4
12032056,32/1-25-6-0-0,1
12032057,0+25+10-72/3,11
12032058,0+28+1+30+52,111
12032059,0-3+0+52-19*2,11
12032100,0+2*10-23+10,7
12032101,1-10-3-0+22/1,10
12032102,21*20/10-32,10
12032103,1+21+0+0-23+3,2
12032104,21-0-0+23-41,3
12032105,35-10-0-22-1,2
12032106,6-2+0+10-21/3,7
12032107,20+20*3-71/1,9
12032108,0-2+28-31+10,5
12032109,10+12/2+3+0-9,10
12032110,1-20/1+1*30-2,9
12032111,11-22+13+0-1,1
12032112,1-22+1+3+20/1,3
12032113,11+32-10-32,1
12032114,10+14-22+1*3,5
12032115,5+3+21*1-20/1,9
12032116,11-0+2-21+3*6,10
12032117,0-12+13*2-7-1,6
12032118,2*18/1/2-10+3,11
12032119,0+11-22+31-9,11
12032120,21-2+1-0-20+3,3
12032121,1-32+10-1+22,0
12032122,1*1*2-20+23-2,3
12032123,23-2-2-13-0+1,7
12032124,12-30/1+22+4,8
12032125,5/1-12-22+30,1
12032126,3+22-10-16+2,1
12032127,27-0-2*1-21+3,7
12032128,13+0-28+22+1,8
12032129,31-22+10+92,111
12032130,13*1+0-30+22,5
12032131,33*10/22-11,4
12032132,21+10+3-32-2,0
12032133,1-23+31-2*3-0,3
12032134,3-1*42/21+3+0,4
12032135,50-13*3/2*2*1,11
12032136,1+1-26+33-0+2,11
12032137,21+30-21/3*7,2
12032138,30+1-22-13+8,4
12032139,31-21-30/2+9,4
12032140,2-4+10/30*12,2
12032141,23+10*2-41-1,1
12032142,4+20+1-2+1-23,1
12032143,2-0-3*12-3+41,4
12032144,1-24+1*20+3*4,9
12032145,15+0-22+4*3+1,6
12032146,0-1*3-21+24+6,6
12032147,0+41+32-71-2,0
12032148,12/4+8-10+3+2,6
12032149,4+29-13-0-12,8
12032150,0+25+10-31+2,6
12032151,0-21+51-2*13,4
12032152,2+12+21+0-35,0
12032153,15-0+23-31-2,5
12032154,3-1-5-12+4+20,9
12032155,13-20+5+15-2,11
12032156,31+0-22+6-5*1,10
12032157,1+25-1+7-30+2,4
12032158,35+12-20-18,9
12032159,9-11+30+2-25,5
12032200,0-0-23+22+10,9
12032201,20*2*3/10/12,1
12032202,12+0-23+0+22,11
12032203,10-3+3-22+20,8
12032204,42+0-10-23-2,7
12032205,2-3+22+0+0-15,6
12032206,20-2+20-36-1,1
12032207,0+27+1-23-2+0,3
12032208,1+2*20+0-32-8,1
12032209,20-21+20-3-9,7
12032210,0-22+10+13+2,3
12032211,11+0-2/12*2*3,10
12032212,23-22+0+2/1/1,3
12032213,30*2-32-21-1,6
12032214,2*23-42/1+1-0,5
12032215,20*15*2*1/3/2,100
12032216,20+22/1-36/1,6
12032217,2+17-0-3*12/2,1
12032218,28/21*3/2*1+0,2
12032219,10*3/1-29-2+2,1
12032220,30-0+21-22*2,7
12032221,22*2-11-23-0,10
12032222,22-10+22-23,11
12032223,1-22+20*3-32,7
12032224,20+22-42+1*3,3
12032225,22-12-2+3-5-0,6
12032226,0+22/2+16-23,4
12032227,23+1*2-22-0+7,10
12032228,82-0-2+32/1-2,110
12032229,23-2*20-1+2*9,0
12032230,20-23*1-0+3*2,3
12032231,32/2*10/32/1,5
12032232,0+3-1*23+22-2,0
12032233,33-3*1-2/2-20,9
12032234,22*3-1+4-20*3,9
12032235,23-21-20/5+3,1
12032236,30-23+2+12/6,11
12032237,21+27+3+2*30,111
12032238,0-1-22+8+23+3,11
12032239,1/2*20-39+32,3
12032240,10+22-0-32+4,4
12032241,1+4*21+0+3+22,110
12032242,2+22-41+23+0,6
12032243,32*2+32+10+4,110
12032244,13+2/2*40-42,11
12032245,2*10-54*2/3/2,2
12032246,12-24/3+0+6-2,8
12032247,2+10+24+37*2,110
12032248,18+3*20+24-2,100
12032249,24+2-9+10-23,4
12032250,0-0-3*2+25-12,7
12032251,0+2-13-12+25,2
12032252,5+22-0+12-32,7
12032253,5-23+22-3-1+0,0
12032254,2+35-42+10+2,7
12032255,23+50+1*22+5,100
12032256,2+3-22+16-0+5,4
12032257,25+1*20+2-37,10
12032258,21+2+0+25-38,10
12032259,0+29-52+23*1,0
12032300,0+0+32+0-23*1,9
12032301,13+13-0-22+0,4
12032302,10-0-23+32/2,3
12032303,3+2/3/20*30-1,3
12032304,33/22*40/10,6
12032305,0-35+20*2-3+1,3
12032306,30-3+61+22-0,110
12032307,0+71+0+23+3*2,100
12032308,30/10+23-2*8,10
12032309,23+0-39-0+21,5
12032310,3-13-1+20-0-2,7
12032311,21+3+10-1-32,1
12032312,2*31/31*2-2-0,2
12032313,12+33-32-10,3
12032314,30-32+14/2-1,4
12032315,23*5-12/3-1+0,110
12032316,12*31/62-3-0,3
12032317,30+7-13-21+2,5
12032318,2-3+1-28+30*1,2
12032319,3+1*2+19+0-23,1
12032320,0-2+3+0-22+31,10
12032321,33+2-12-12+0,11
12032322,3-3+2-12+20-2,8
12032323,30+21+3-23*2,8
12032324,33-21+22*4+0,100
12032325,2-3*1+30-2-25,2
12032326,10+2+32-36+2,10
12032327,31+27+2-2*30,0
12032328,30*2+23+28*1,111
12032329,9-0+32-32-1-2,6
12032330,3+20*2*3/30+1,8
12032331,33/22/3*10/1,5
12032332,0+3-22+23-3/1,1
12032333,20*3-21+3-33,9
12032334,33-20+4*1-2*3,11
12032335,25-0+3-13-2*3,9
12032336,1-0-33-6+2*23,8
12032337,1+2/2-3-30+37,6
12032338,30-32+18-3-2,11
12032339,3/3+0+31+2-29,5
12032340,10/2+0+4*23+3,100
12032341,31+12+2*34+0,111
12032342,42*2-0+23*1+3,110
12032343,4-22+31-30/3,3
12032344,23+0+4*14+32,111
12032345,0+1+42+35+32,110
12032346,4-2+36/2-0-13,7
12032347,7+4-33+22+1+0,1
12032348,3-20/4-12+8*3,10
12032349,34*2+32+9+1+0,110
12032350,0-30+31+5*22,111
12032351,10+1*22*3+35,111
12032352,2*33/22+10/5,5
12032353,32-10+3-25+3,3
12032354,2+2-50+1+3+43,1
12032355,35-35+0+1/2*2,1
12032356,20-1-2+36-53,0
12032357,0+1+73+2-35*2,6
12032358,12+58-32-30,8
12032359,32+2-0-1*39+5,0
12040000,0+0-0-0+14*20,280
12040001,4-0+10*2+0+10,34
12040002,0+41/20*20-0,41
12040003,0-1+30+20+40,89
12040004,40*10+0-0+2+4,406
12040005,1-0+50-0-0-42,9
12040006,20-10+0+6+0-4,12
12040007,20-10+70-40,40
12040008,84-0+0-10+20,94
12040009,0+40/20+9-0+1,12
12040010,0+40*11/20-0,22
12040011,4/1*10-20-10,10
12040012,0+41-20-10-2,9
12040013,31+0+0+12-40,3
12040014,2+40/10-0+1+4,11
12040015,5+10-0-10+4/2,7
12040016,0-0+16+14-20,10
12040017,1+0-7-0-10+24,8
12040018,0-21-0+40-18,1
12040019,0+11+0+9+20*4,100
12040020,1/20*20*40-0,40
12040021,42-10-0-21-0,11
12040022,22-20+0-4+10,8
12040023,10+0-32+24-0,2
12040024,4-0+4/20*20*1,8
12040025,2-10-20-5+40,7
12040026,14-0+20-26-0,8
12040027,24+70/10-20,11
12040028,2*14-20-8+0-0,0
12040029,0-21*4+92+0+0,8
12040030,0+20-3+0+10*4,57
12040031,0+3+40/2/10/1,5
12040032,1+0+30*2/40*2,4
12040033,13+4-0-0-30/2,2
12040034,40/2+10-30+4,4
12040035,0+40-30-5+2+1,8
12040036,0+0-16+20+4+3,11
12040037,0-31+40-2-0-7,0
12040038,42+8-0-10-30,10
12040039,0-20-9-0+34-1,4
12040040,0+40-1+4-20-0,23
12040041,14+20+10-40,4
12040042,42-0+1-0-42-0,1
12040043,34-0-4+0-2*10,10
12040044,4+20+0-4-0-14,6
12040045,0+0+4*14-52-0,4
12040046,0+40+6+0-42/1,4
12040047,47-41-0+0-0-2,4
12040048,40*24/8+0-10,110
12040049,4-0+12+94-0+0,110
12040050,0-2+50+4-10+0,42
12040051,0+52-40-0-11,1
12040052,1+0+20/40*2+5,7
12040053,53+0-41+0+0-2,10
12040054,2*10-0-54+40,6
12040055,2+50+0-1*45+0,7
12040056,4*10-60+0+25,5
12040057,0+2/1+0+50-47,5
12040058,25+0-0-0-14-8,3
12040059,0-10+50-9-24,7
12040100,40-11+0-20-0,9
12040101,1+0+14+2-10-0,7
12040102,0+0+10-14/2+2,5
12040103,34/2-0-1-10-0,6
12040104,0-40/10+14-2,8
12040105,40/5/10*10/2,4
12040106,11-60/20+0-4,4
12040107,0+7-14-0-0+12,5
12040108,0+8+1-20-0+14,3
12040109,90+1-10-2*40,1
12040110,10*4-10-20*1,10
12040111,14+0-0-12+1-1,2
12040112,41-10-0-21-2,8
12040113,3-0-0-1*14+12,1
12040114,1+2-1/40*40+1,3
12040115,10*5-1*42+1+0,9
12040116,0+2-16+11-0+4,1
12040117,0-0-71+1*2*41,11
12040118,41-21+0-18+0,2
12040119,12-19+4-0+10,7
12040120,20-2/10*40-1,11
12040121,11-24/12+0+0,9
12040122,0-14/2+20/1/2,3
12040123,21/1+3+0+0-24,0
12040124,4-14+22+0-1+0,11
12040125,10+4+2+5+0-12,9
12040126,0-20/2+16-1-4,1
12040127,21*20/14+70,100
12040128,10+80-22*4/1,2
12040129,2-1*20+40-19,3
12040130,4*20+3*1*10-0,110
12040131,0-3-0+14-11+2,2
12040132,2-30+2-11+40,3
12040133,12*4-0-0-13*3,9
12040134,42-41-0+10-3,8
12040135,4-3/15*10+2+0,4
12040136,60-4/1-21-30,5
12040137,7-34+20+0+11,4
12040138,10/20+18/4-3,2
12040139,0+14-1+0+3*29,100
12040140,10*1-20/4+0-4,1
12040141,14-10-0+4-1*2,6
12040142,4+0-2-14+12-0,0
12040143,1+4*10-42+3+0,2
12040144,40-2-44+10+1,5
12040145,0+5/1*4-40+21,1
12040146,24+6-14-0-10,6
12040147,1*47+0-41-0+2,8
12040148,41-42-0+8+0-1,6
12040149,40-19-14-2-0,5
12040150,10+1-40/5/2+0,7
12040151,21+40-1*10*5,11
12040152,20/20-15+14,0
12040153,14-15+0+3+2-0,4
12040154,0-1*42/14-0+5,2
12040155,4-5+0-12+15-0,2
12040156,54+0+60-1/1-2,111
12040157,12*17+0-5*40,4
12040158,8-0-0+12-14+5,11
12040159,42+1+1*9+0-50,2
12040200,0-20-0+42-10,12
12040201,40+0-11-22+0,7
12040202,0+2*40/10/2*2,8
12040203,14+20-23+0-0,11
12040204,20+14-24-0-0,10
12040205,40-25-2+0-10,3
12040206,0+1-20-0+26-4,3
12040207,0-42/7+10-0-2,2
12040208,0+40*1-20*2+8,8
12040209,0-0-24+21+9-0,6
12040210,1/1*20+20-40,0
12040211,20-1+2*11-40,1
12040212,12-10/20*24,0
12040213,0+21-34+20/1,7
12040214,0+10+24-24-1,9
12040215,21-10+0-4/2-5,4
12040216,26+0-2+0-14+1,11
12040217,11+0+22-40+7,0
12040218,20-40-1-1+28,6
12040219,0-4-0+29-11*2,3
12040220,20*22/40*10,110
12040221,0+12-10+4/2-2,2
12040222,4+20/2-22+10,2
12040223,2/2-0-14-0+23,10
12040224,20-20+24-14,10
12040225,12-50+40+2+2,6
12040226,24+2-20-1+0+6,11
12040227,2*72-20+0-14,110
12040228,28+12-40-0+2,2
12040229,49+0-1*2*22-0,5
12040230,0-0+12+0-32/4,4
12040231,1-43+21*2-0-0,0
12040232,2+2+40/20/1-3,3
12040233,23-0+40-21*3,0
12040234,0-2+43+2-10*4,3
12040235,24-3-10+2-5+0,8
12040236,3+12/60*40-2,9
12040237,1*3-27+24-0-0,0
12040238,21+4-0-38+20,7
12040239,0-30+2*19-4/2,6
12040240,24+1-0-24+0-0,1
12040241,42/21*40/10,8
12040242,12/40*40-2*2,8
12040243,1+4*30/24-0-2,4
12040244,24-12-4-0+0-4,4
12040245,2+12-0+40-54,0
12040246,20-44+16*2+0,8
12040247,20+74+0+1*4+2,100
12040248,8/2+42-1-40+0,5
12040249,4*9+0+14-20*2,10
12040250,1+24-20+0+0-5,0
12040251,1*50-4*1-2*20,6
12040252,12-40/2*2/5-0,4
12040253,20+2*51-40*3,2
12040254,0+50-44-2+2/1,6
12040255,52+0-0+52-4*1,100
12040256,2+40-56+20+1,7
12040257,72/1-20-0-45,7
12040258,0+25-0+81-2-4,100
12040259,4+9+0+21-25+0,9
12040300,10+30+2-40-0,2
12040301,3/10*40+0-12,0
12040302,24/1-0-20-0+3,7
12040303,21+4*30+0-30,111
12040304,0+1-34+0-0+42,9
12040305,24/10/30*50,4
12040306,40-0-20-16-3,1
12040307,40-17-23+0-0,0
12040308,0-0-30+1-8+42,5
12040309,29+10-0-34+0,5
12040310,0-13-21+40+0,6
12040311,13-1*2*40/10,5
12040312,0+22+0-4-3-11,4
12040313,32/4+10*10+3,111
12040314,0+34+12-0-41,5
12040315,35*2/1-0-0+41,111
12040316,62-0+1+40/1-3,100
12040317,1+30+21-0-47,5
12040318,3/4*1*80/10+2,8
12040319,9-40/1+31+2+0,2
12040320,20-42-0+30*1,8
12040321,0-24+21+0+13,10
12040322,1-0+24-20+2*3,11
12040323,30/3+2-14/2-0,5
12040324,1-4+20-0-24/3,9
12040325,5-2*23+41+0-0,0
12040326,23/1+6+20-40,9
12040327,20/1*7/42*30,100
12040328,0+2*4-28-1+30,9
12040329,20+0+9*2-34/1,4
12040330,0+2+0-33+40/1,9
12040331,3+10+3+0-12-4,0
12040332,24+13+0-0-32,5
12040333,30/2-13+4-0+3,9
12040334,40*3/10/4+3-2,4
12040335,0-30-23-1+54,0
12040336,4-0-13+23-6-0,8
12040337,27*1+40+33-0,100
12040338,1-0+20-33+8+4,0
12040339,40-21+90-3*3,100
12040340,20-40+10*4*3,100
12040341,2*30-41-14+0,5
12040342,24-4-13-0-0+2,9
12040343,0+34+10-42+3,5
12040344,2+44-40*1+0-3,3
12040345,50-2-0-4-4-31,9
12040346,20*4+36+0-4-1,111
12040347,32+0+1-40+7+4,4
12040348,24+4+10-38+0,0
12040349,93-42-1-40-0,10
12040350,20-5*3+40/10,9
12040351,20-51+41-0-3,7
12040352,2+34+0+0-25*1,11
12040353,33+20-40-5-1,7
12040354,20-45-0+34/1,9
12040355,0+5*14/35*2-0,4
12040356,0+60/5*12-34,110
12040357,17+0+5-40+23,5
12040358,48+0-0-13-25,10
12040359,1-2-30+40+5-9,5
12040400,44-10/2+0+0-0,39
12040401,0+42-41+1-0+0,2
12040402,10+40-24-20,6
12040403,1+0-4*20/40+3,2
12040404,4-42+0+40+0+1,3
12040405,2-0+5+40-40*1,7
12040406,0+1+0+4*60/24,11
12040407,44-1+0+70-0-2,111
12040408,40-8-20-10+4,6
12040409,0-40+9*10-42,8
12040410,40-0-10-21-4,5
12040411,1+20/10+4+4*1,11
12040412,10-42+41-0+2,11
12040413,20-14-1*3-0+4,7
12040414,4-1-0-4*10+42,5
12040415,1*5*2-41-0+40,9
12040416,41-61+40-20,0
12040417,71-40-1+0-24,6
12040418,10-48+0+41+2,5
12040419,40-91+41+20,10
12040420,0+10*24/20/4,3
12040421,20/4+4+2-10/1,1
12040422,0+4-21-20+42,5
12040423,23+4+4*21-0-0,111
12040424,0+21-0+4-44/2,3
12040425,2-14-0-25+40,3
12040426,4-60-21+40*2,3
12040427,17-40-0+22+4,3
12040428,12/40/24*80,1
12040429,10-40+29+4+2,5
12040430,24-30+14-0-0,8
12040431,40-11-32+4-0,1
12040432,41-0-20-34/2,4
12040433,42+3-0-30-14,1
12040434,0+32+14-40+4,10
12040435,14+4-50+0+32,0
12040436,0+12*6+34+4-0,110
12040437,32-1*70+44+0,6
12040438,0-18+43-20+4,9
12040439,12-43+9*4+0+0,5
12040440,4*10/40*4+2-0,6
12040441,44/4+0-10+1*2,3
12040442,2+2-0+14-40/4,8
12040443,4*1+3-40-0+42,9
12040444,2-0-40/4+14-4,2
12040445,4+2+40+0+1-45,2
12040446,0+0-4*14+64-2,6
12040447,40*4*1+0-47-2,111
12040448,0+42+0+8-4-41,5
12040449,1-2*40-4/4+90,10
12040450,20-40*5/10+4,4
12040451,0-0+45+2-41*1,6
12040452,0+2*20+5-44*1,1
12040453,0+3-42+45+1-0,7
12040454,4+52-0+44+10,110
12040455,0+12*5/40*4+5,11
12040456,41-0-65+20+4,0
12040457,40+20+45+7-1,111
12040458,45-0-20+84+1,110
12040459,14-52+0+0+49,11
12040500,20-4-10+50-0,56
12040501,50/20/1+10/4,5
12040502,15+0-0+4-20+2,1
12040503,50-43*1-0-0+2,9
12040504,54-1+0+0+0-42,11
12040505,0+54*2+0+10/5,110
12040506,0+50-24+0-16,10
12040507,70+1+0-20-45,6
12040508,5/10*82-40+0,1
12040509,9-0-0+10-24+5,0
12040510,12/10-0+4/5+0,2
12040511,2-0-41+51+0-1,11
12040512,0+5-0+24/12/1,7
12040513,50+0+14-21*3,1
12040514,0-1/5*40+4+12,8
12040515,41+5-25-10+0,11
12040516,1-0-46+52*1-0,7
12040517,45/10+1-7/2-0,2
12040518,5+0-4+20/1-18,3
12040519,20+1+94+0-5*1,110
12040520,0+0-4+25/10*2,1
12040521,21-0+4-12-5+0,8
12040522,25*2+21-0+40,111
12040523,0+3*21+0+52-4,111
12040524,1+4-20*2+45+0,10
12040525,4*50/20*2-15,5
12040526,20+5-10*6+42,7
12040527,0+0+74-52-12,10
12040528,0+14+0+25-28,11
12040529,0+0+12*9/54-2,0
12040530,30+0-1*24+0-5,1
12040531,0+5+0+13-21+4,1
12040532,15+2+4-20-0+3,4
12040533,43-0+0+5*13+2,110
12040534,24+40-1*3+50,111
12040535,55-20-34+10,11
12040536,16+45+30+20,111
12040537,0+3-14+7+20/5,0
12040538,0+80+51+3-24,110
12040539,0-29-4+50-13,4
12040540,0-40+0+54-12,2
12040541,40-21-10-5-4,0
12040542,2-50+4+42+10,8
12040543,23-40/4-10+5,8
12040544,51+0+0-42-4+4,9
12040545,4-50-0-1+52-4,1
12040546,42+10-54+0+6,4
12040547,15-0+74-4*20,9
12040548,42+50+0-84+1,9
12040549,0+54+2-40+1-9,8
12040550,50-2/5*10-40,6
12040551,0+5+14+0+5-21,3
12040552,12-40/50*5/2,10
12040553,0+2+53-1-45-0,9
12040554,0+42-0-54+15,3
12040555,0+54-1-0-55+2,0
12040556,40+5*5-1-62-0,2
12040557,0+75-0-21-45,9
12040558,85-24-51-0-0,10
12040559,45-50/10-29,11
12040600,26-10+0-0-4-0,12
12040601,10-0+0+2-16+4,0
12040602,26-0-0-0-12-4,10
12040603,40*1+23-0-60,3
12040604,60-42+0-14-0,4
12040605,10+54+0-0-62,2
12040606,46+20+0-60*1,6
12040607,70-0-42*10/6,0
12040608,40+62/1-0+0+8,110
12040609,40-6*20+90/1,10
12040610,61-2*10-40+0,1
12040611,14+10-16+0-2,6
12040612,20+42+0-61/1,1
12040613,4-0-16+0+12+3,3
12040614,40-6*10*1+24,4
12040615,60-50+1-12+4,3
12040616,1+10*6+4-60+2,7
12040617,0+61-40-21+7,7
12040618,40-1+60-12*8,3
12040619,92/46+10/10,3
12040620,20*6/20+1-0-4,3
12040621,24+1-6+0+0-12,7
12040622,0+46-22*2*1+0,2
12040623,3*10+0+42-62,10
12040624,46-40/2-20+1,7
12040625,1*5*24/60-0+2,4
12040626,0+26/12*6-4+0,9
12040627,26+70/10-24,9
12040628,60-40+8-22/1,6
12040629,2+19-40/20*6,9
12040630,30+6-1-0-0-24,11
12040631,0+60-12-43/1,5
12040632,0-60+21*3+4-2,5
12040633,46-1+33*2+0+0,111
12040634,64-12-0-40-3,9
12040635,35+1*20+60-4,111
12040636,60-4*12-6+3+0,9
12040637,20-61-0+47-3,3
12040638,26-0-43-0+18,1
12040639,4-10-6+32-0-9,11
12040640,0+24+41-60-0,5
12040641,6+2*1-40/40/1,7
12040642,6+40-2+2-10*4,6
12040643,40+16+34+20,110
12040644,41-0-2+0-44+6,1
12040645,42+50-6+10+4,100
12040646,0-0+64+2-64-1,1
12040647,64-12+0+0-47,5
12040648,1+0-24-60+84,1
12040649,0-19-4+46/2-0,0
12040650,5+12-0-0-60/4,2
12040651,1+2*54/6-10-0,9
12040652,5/20*4/12*60,5
12040653,30+6-41+20-5,10
12040654,0+0+5+42+64-1,110
12040655,24*5+6-0-10-5,111
12040656,60-2+6-4+51+0,111
12040657,0+7+60-12-45,10
12040658,10+50*6*8/24,110
12040659,95-10-20-64,1
12040700,40+20-17+0-0,43
12040701,4-17+21+0+0-0,8
12040702,0+72-20+0-41,11
12040703,7+40-12-0-30,5
12040704,10-70*4/20+4,0
12040705,0+47+10-50+2,9
12040706,71+60-0-40/2,111
12040707,74-2-0+1-70-0,3
12040708,0+70+0-82+14,2
12040709,70-29-40+10,11
12040710,40/2-17-0-1+0,2
12040711,72-1+40-1-0+1,111
12040712,17-14/20*20,3
12040713,30-42-0+17-1,4
12040714,4*1+0+21*7-40,111
12040715,40-17-15-2-0,6
12040716,76+10+21-0+4,111
12040717,72+0-41+70-1,100
12040718,0+82-0-1-4-71,6
12040719,19-7-20*4/10,4
12040720,0+20+27-40-1,6
12040721,11+20-0-24-7,0
12040722,22*7+0-41+0-2,111
12040723,3-21-20+40+7,9
12040724,2-0-40+47-1*2,7
12040725,2*50-24-70*1,6
12040726,24+1*60-0+27,111
12040727,72-0+2-0-74*1,0
12040728,47-20-28-0+1,0
12040729,20-9-10+4+2-7,0
12040730,3*17+0-0+0-42,9
12040731,0-21-0+31-7+4,7
12040732,72*2+0+0-34/1,110
12040733,4-23*1*3+70+0,5
12040734,32-0+4+7-40*1,3
12040735,4+27+30-50*1,11
12040736,10+26+0+7-43,0
12040737,77-32/1-40-0,5
12040738,10*24/30+8-7,9
12040739,97+4+12-3-0-0,110
12040740,41+0-7+0-24+0,10
12040741,40-47+12-1+0,4
12040742,74-0+20*2-14,100
12040743,72-1-30-40+4,5
12040744,0+1*47+44+20,111
12040745,70-4+0-51-4-2,9
12040746,76-0-21-40-4,11
12040747,0-0+27+4-4-17,10
12040748,2+70*8/14-40,2
12040749,49+7+0-12*4+0,8
12040750,70-0+40-1*5*2,100
12040751,2-10-40+57*1,9
12040752,4/2+5-17+20-0,10
12040753,0+31-70+2+45,8
12040754,0-1+70-5+2+44,110
12040755,0+71-40-25+5,11
12040756,0+5-70+62+4*1,1
12040757,5-0+17-24+0+7,5
12040758,1+8+0+54/27+0,11
12040759,7-0-1-2*90/45,2
12040800,0+80+20-0-14,86
12040801,0-12-0+80/1/4,8
12040802,0+82-0-10*4*2,2
12040803,42-0-1*8-30+0,4
12040804,8-42+41-0-0-0,7
12040805,40-0-58-0+21,3
12040806,10-2*6*40/80,4
12040807,0+0+0+72-18*4,0
12040808,0+4+20+88-1-0,111
12040809,0-82+94-10-0,2
12040810,10*4*20/80/1,10
12040811,18+0-0-2-11-4,1
12040812,0+24+10-28*1,6
12040813,18-13-0+2-0+4,11
12040814,2+0+8/14*14+0,10
12040815,1+0+51-4-80/2,8
12040816,0-0-61+48+21,8
12040817,7-4*20-0+81-1,7
12040818,81-0-80+4-2+1,4
12040819,90+1-1-4+0-82,4
12040820,4*20-0-1-80+2,1
12040821,20-10-18/4*2,1
12040822,20+24-80*1/2,4
12040823,0+20+18+2-34,6
12040824,10*4-80/2+4/2,2
12040825,10*8-50-42/2,9
12040826,2+16+4-2+80-0,100
12040827,21-0-84+72+0,9
12040828,0+80/8-14+2+2,0
12040829,2+4*20+10-89,3
12040830,0+0-28-3+10*4,9
12040831,3-10/80*24+1,1
12040832,42+2-13+0+80,111
12040833,4*30-82-31-0,7
12040834,8+31+4+2-40-0,5
12040835,51-34-0-8-2+0,7
12040836,0+0+23/46*18,9
12040837,47-0-38+2-10,1
12040838,23-80/40*8/1,7
12040839,92+3+4-10-80,9
12040840,0-0+24-18-0+4,10
12040841,11-8/40*40-2,1
12040842,0+12*20/48-4,1
12040843,42-34-80/10,0
12040844,4+8+40+0-42/1,10
12040845,2*10/80*4+4+5,10
12040846,68-0-40+4-21,11
12040847,0-0+24-84+71,11
12040848,82+0-0+4-84/1,2
12040849,81-0-4*20-4+9,6
12040850,0-0+21-5-40/8,11
12040851,0+1+14*5+80/2,111
12040852,40+2*51/2-80,11
12040853,10-0+54/3-28,0
12040854,0+45-4+80-21,100
12040855,0+15*8*2/4-50,10
12040856,50-68+2*4+10,0
12040857,0-12*4+58-0-7,3
12040858,5-0-0+88/4-21,6
12040859,40+12-9+8-50,1
12040900,94+0-0+12-0+0,106
12040901,0-9-0-10+1*24,5
12040902,0+19-22+0+0+4,1
12040903,0+0-30+9+4+21,4
12040904,1+0-0-4+24+90,111
12040905,40-5-0+0-21-9,5
12040906,0+49-0+2/1+60,111
12040907,0-9-41+70-20,0
12040908,9+0-20+80/4*1,9
12040909,4-0+2-1+90/90,6
12040910,0+1*40/10-2+9,11
12040911,9+4/1+11-0-20,4
12040912,20+2+19-0-41,0
12040913,29+0+13-40+1,3
12040914,90-0+2+4*1+14,110
12040915,21-0+95-4-0-1,111
12040916,9-1-60/20+1-4,2
12040917,10-4+91+20-7,110
12040918,48+0-10*1/2*9,3
12040919,90-1-90+2*4+1,8
12040920,10+20-40+9+2,1
12040921,0+12-2-14+0+9,5
12040922,2*24*1-90/2+0,3
12040923,32+21-40-9+0,4
12040924,0+4+22*4-10*9,2
12040925,52+0-92+1+40,1
12040926,90-42-60+21,9
12040927,0-47-0+1*29*2,11
12040928,80+21-2-0-94,5
12040929,92-90+12-4-0,10
12040930,34-0-20*1-9-0,5
12040931,0-31+20/1+4+9,2
12040932,10*4+93+0-22,111
12040933,39-30+2+4-10,5
12040934,43-4-1*20-9+0,10
12040935,93-50+2*1-40,5
12040936,36/4+0+2-1+90,100
12040937,93+10*72/40,111
12040938,0-0+18*3+2-49,7
12040939,32-9-10-0+4-9,8
12040940,0-42+49-0+1+0,8
12040941,4-0+29+10-41,2
12040942,20+49-41-20,8
12040943,0+19-0+24-34,9
12040944,1-0-44/4+20-9,1
12040945,49-4+12+0-50,7
12040946,40+9-2+0-1+64,110
12040947,17-9*40/20+4,3
12040948,40-40+91-82,9
12040949,92+4-0-91-0-4,1
12040950,0+41+0-0-29-5,7
12040951,19-50-2+40*1,7
12040952,40-90/1+25*2,0
12040953,0-39+50-2-1-4,4
12040954,0+44-10+5-29,10
12040955,10-5-45/90*2,4
